market,side,size,entry_price,realised_pnl,trade_pnl,funding_fees,trading_fees,exit_price,exit_type,closed_at
SUI-USD,LONG,31,1.5654,-0.031134,-0.0093,0,-0.021834,1.5651,TRADE,2025-12-12T23:28:59.180Z
JUP-USD,LONG,249,0.2007,-0.097171,-0.0747,0,-0.022471,0.2004,TRADE,2025-12-12T23:28:59.202Z
JUP-USD,LONG,249,0.2011,-0.12211,-0.0996,0,-0.02251,0.2007,TRADE,2025-12-12T23:07:45.483Z
ONDO-USD,LONG,108,0.4591,-0.076299,-0.054,0,-0.022299,0.4586,TRADE,2025-12-12T23:07:45.475Z
ZRO-USD,LONG,34,1.4562,0.008315,0.0306,0,-0.022285,1.4571,TRADE,2025-12-12T23:07:45.482Z
HYPE-USD,LONG,1.73,28.878,-0.095124,-0.07266,0,-0.022464,28.836,TRADE,2025-12-12T23:07:45.507Z
ZRO-USD,LONG,34,1.4564,-0.039278,-0.017,0,-0.022278,1.4559,TRADE,2025-12-12T23:03:15.838Z
EDEN-USD,LONG,750,0.06645,-0.127402,-0.105,0,-0.022402,0.06631,TRADE,2025-12-12T23:03:15.815Z
CRV-USD,LONG,126,0.39472,-0.058912,-0.03654,0,-0.022372,0.39443,TRADE,2025-12-12T23:03:15.835Z
ONDO-USD,LONG,108,0.4586,-0.011489,0.0108,0,-0.022289,0.4587,TRADE,2025-12-12T23:03:15.056Z
SUI-USD,LONG,31,1.5673,-0.000167,0.0217,0,-0.021867,1.568,TRADE,2025-12-12T23:03:15.066Z
EDEN-USD,LONG,750,0.06663,-0.127463,-0.105,0,-0.022463,0.06649,TRADE,2025-12-12T22:52:57.987Z
MON-USD,LONG,2040,0.02445,-0.063235,-0.0408,0,-0.022435,0.02443,TRADE,2025-12-12T22:52:57.986Z
SUI-USD,LONG,31,1.5648,-0.05902,-0.0372,0,-0.02182,1.5636,TRADE,2025-12-12T22:52:57.988Z
CRV-USD,LONG,126,0.39503,0.009396,0.0318,0,-0.022404,0.39529,TRADE,2025-12-12T22:44:16.799Z
ONDO-USD,LONG,108,0.4592,-0.054709,-0.0324,0,-0.022309,0.4589,TRADE,2025-12-12T22:44:17.565Z
CRV-USD,LONG,127,0.39278,-0.045301,-0.02286,0,-0.022441,0.3926,TRADE,2025-12-12T22:35:27.032Z
MON-USD,LONG,2040,0.02443,-0.022426,0,0,-0.022426,0.02443,TRADE,2025-12-12T22:35:27.026Z
EDEN-USD,LONG,750,0.06629,-0.044867,-0.0225,0,-0.022367,0.06626,TRADE,2025-12-12T22:35:27.046Z
PENDLE-USD,LONG,22,2.2104,-0.015283,0.0066,0,-0.021883,2.2107,TRADE,2025-12-12T22:24:40.227Z
CRV-USD,LONG,127,0.39161,-0.059201,-0.03683,0,-0.022371,0.39132,TRADE,2025-12-12T22:24:39.420Z
SUI-USD,LONG,31,1.5684,-0.015679,0.0062,0,-0.021879,1.5686,TRADE,2025-12-12T22:24:40.176Z
EDEN-USD,LONG,750,0.06596,-0.007264,0.015,0,-0.022264,0.06598,TRADE,2025-12-12T22:24:40.190Z
MON-USD,LONG,2060,0.02421,-0.043037,-0.0206,0,-0.022437,0.0242,TRADE,2025-12-12T22:24:39.419Z
EDEN-USD,LONG,750,0.06601,0.007716,0.03,0,-0.022284,0.06605,TRADE,2025-12-12T22:19:44.478Z
MON-USD,LONG,2050,0.02431,-0.063415,-0.041,0,-0.022415,0.02429,TRADE,2025-12-12T22:19:44.472Z
CRV-USD,LONG,127,0.39077,0.047503,0.06985,0,-0.022347,0.39132,TRADE,2025-12-12T22:19:44.473Z
SUI-USD,LONG,31,1.5668,-0.034253,-0.0124,0,-0.021853,1.5664,TRADE,2025-12-12T22:19:44.469Z
BERA-USD,LONG,70,0.7136,-0.085464,-0.063,0,-0.022464,0.7127,TRADE,2025-12-12T22:02:25.909Z
TIA-USD,LONG,87,0.5684,-0.03095,-0.0087,0,-0.02225,0.5683,TRADE,2025-12-12T22:02:25.933Z
PENDLE-USD,LONG,22,2.1975,-0.001959,0.0198,0,-0.021759,2.1984,TRADE,2025-12-12T22:02:25.930Z
EDEN-USD,LONG,760,0.06572,-0.007279,0.0152,0,-0.022479,0.06574,TRADE,2025-12-12T22:02:25.924Z
CRV-USD,LONG,128,0.38876,-0.063343,-0.04096,0,-0.022383,0.38844,TRADE,2025-12-12T22:02:25.934Z
EDEN-USD,LONG,750,0.06569,-0.082156,-0.06,0,-0.022156,0.06561,TRADE,2025-12-12T21:57:44.732Z
LINEA-USD,LONG,6500,0.007596,-0.067707,-0.0455,0,-0.022207,0.007589,TRADE,2025-12-12T21:57:44.715Z
MON-USD,LONG,2060,0.02419,-0.08421,-0.0618,0,-0.02241,0.02416,TRADE,2025-12-12T21:57:44.693Z
MON-USD,LONG,2060,0.02429,-0.22847,-0.206,0,-0.02247,0.02419,TRADE,2025-12-12T21:52:33.778Z
CRV-USD,LONG,128,0.38982,-0.071081,-0.04864,0,-0.022441,0.38944,TRADE,2025-12-12T21:44:40.151Z
EDEN-USD,LONG,750,0.06589,-0.059728,-0.0375,0,-0.022228,0.06584,TRADE,2025-12-12T21:44:40.154Z
PENDLE-USD,LONG,22,2.2022,-0.045995,-0.0242,0,-0.021795,2.2011,TRADE,2025-12-12T21:44:40.155Z
CRV-USD,LONG,128,0.38956,-0.05571,-0.03328,0,-0.02243,0.3893,TRADE,2025-12-12T21:42:55.762Z
MON-USD,LONG,2070,0.02412,-0.001771,0.0207,0,-0.022471,0.02413,TRADE,2025-12-12T21:44:40.154Z
PENDLE-USD,LONG,22,2.2014,-0.028391,-0.0066,0,-0.021791,2.2011,TRADE,2025-12-12T21:42:52.428Z
TIA-USD,LONG,87,0.5698,-0.039702,-0.0174,0,-0.022302,0.5696,TRADE,2025-12-12T21:42:49.074Z
EDEN-USD,LONG,750,0.06577,-0.052189,-0.03,0,-0.022189,0.06573,TRADE,2025-12-12T21:42:45.751Z
MON-USD,LONG,2070,0.02407,-0.105201,-0.0828,0,-0.022401,0.02403,TRADE,2025-12-12T21:26:02.643Z
EDEN-USD,LONG,760,0.06541,-0.014771,0.0076,0,-0.022371,0.06542,TRADE,2025-12-12T21:26:02.666Z
TIA-USD,LONG,88,0.5675,-0.040068,-0.0176,0,-0.022468,0.5673,TRADE,2025-12-12T21:26:01.865Z
CRV-USD,LONG,128,0.38862,-0.072293,-0.04992,0,-0.022373,0.38823,TRADE,2025-12-12T21:26:02.645Z
MON-USD,LONG,2070,0.02406,-0.063801,-0.0414,0,-0.022401,0.02404,TRADE,2025-12-12T21:25:15.647Z
PENDLE-USD,LONG,22,2.199,-0.041565,-0.0198,0,-0.021765,2.1981,TRADE,2025-12-12T21:26:02.657Z
TIA-USD,LONG,88,0.5674,-0.040064,-0.0176,0,-0.022464,0.5672,TRADE,2025-12-12T21:25:12.304Z
EDEN-USD,LONG,760,0.0654,-0.060357,-0.038,0,-0.022357,0.06535,TRADE,2025-12-12T21:25:08.961Z
MON-USD,LONG,2070,0.02412,-0.084552,-0.0621,0,-0.022452,0.02409,TRADE,2025-12-12T21:21:35.422Z
STRK-USD,LONG,480,0.10419,0.001491,0.024,0,-0.022509,0.10424,TRADE,2025-12-12T21:21:35.389Z
PENDLE-USD,LONG,22,2.2002,-0.028379,-0.0066,0,-0.021779,2.1999,TRADE,2025-12-12T21:21:35.389Z
CRV-USD,LONG,128,0.38869,-0.044143,-0.02176,0,-0.022383,0.38852,TRADE,2025-12-12T21:21:35.396Z
EDEN-USD,LONG,760,0.06555,-0.068007,-0.0456,0,-0.022407,0.06549,TRADE,2025-12-12T21:15:44.701Z
CRV-USD,LONG,128,0.38867,-0.053099,-0.03072,0,-0.022379,0.38843,TRADE,2025-12-12T21:15:44.698Z
PENDLE-USD,LONG,22,2.1966,-0.034943,-0.0132,0,-0.021743,2.196,TRADE,2025-12-12T21:15:44.717Z
MON-USD,LONG,2070,0.02408,-0.100219,-0.0778,0,-0.022419,0.02405,TRADE,2025-12-12T21:15:43.939Z
TIA-USD,LONG,88,0.5666,-0.022436,0,0,-0.022436,0.5666,TRADE,2025-12-12T21:15:44.705Z
CRV-USD,LONG,128,0.38889,-0.066589,-0.0442,0,-0.022389,0.38855,TRADE,2025-12-12T21:10:16.164Z
TIA-USD,LONG,88,0.5667,-0.06643,-0.044,0,-0.02243,0.5662,TRADE,2025-12-12T21:10:16.156Z
MON-USD,LONG,2080,0.024,-0.022464,0,0,-0.022464,0.024,TRADE,2025-12-12T21:10:15.324Z
PENDLE-USD,LONG,22,2.1933,0.048672,0.0704,0,-0.021728,2.1965,TRADE,2025-12-12T21:05:05.029Z
CRV-USD,LONG,129,0.38773,0.054876,0.0774,0,-0.022524,0.38833,TRADE,2025-12-12T21:05:05.029Z
MON-USD,LONG,2070,0.024,-0.125832,-0.1035,0,-0.022332,0.02395,TRADE,2025-12-12T21:05:05.018Z
EDEN-USD,LONG,760,0.06517,0.023302,0.0456,0,-0.022298,0.06523,TRADE,2025-12-12T21:05:05.029Z
ZRO-USD,LONG,35,1.4076,0.058314,0.0805,0,-0.022186,1.4099,TRADE,2025-12-12T21:05:05.029Z
EDEN-USD,LONG,770,0.06476,-0.021796,-0.0077,0.00834,-0.022436,0.06475,TRADE,2025-12-12T21:00:01.283Z
PENDLE-USD,LONG,22,2.1936,-0.024548,-0.0066,0.003766,-0.021714,2.1933,TRADE,2025-12-12T21:00:01.280Z
MON-USD,LONG,2080,0.02399,-0.038309,-0.0208,0.00494,-0.022449,0.02398,TRADE,2025-12-12T21:00:01.279Z
CRV-USD,LONG,128,0.38752,-0.027749,-0.01024,0.004809,-0.022318,0.38744,TRADE,2025-12-12T21:00:01.272Z
ZRO-USD,LONG,35,1.4097,-0.099432,-0.077,-0.000247,-0.022185,1.4075,TRADE,2025-12-12T21:00:01.270Z
MON-USD,LONG,2070,0.02409,-0.10522,-0.0828,0,-0.02242,0.02405,TRADE,2025-12-12T20:47:07.893Z
CRV-USD,LONG,129,0.38757,-0.047002,-0.02451,0,-0.022492,0.38738,TRADE,2025-12-12T20:47:07.896Z
EDEN-USD,LONG,770,0.06468,-0.091695,-0.0693,0,-0.022395,0.06459,TRADE,2025-12-12T20:47:07.907Z
PENDLE-USD,LONG,22,2.1927,-0.015108,0.0066,0,-0.021708,2.193,TRADE,2025-12-12T20:47:07.882Z
AERO-USD,LONG,82,0.60606,-0.060894,-0.03854,0,-0.022354,0.60559,TRADE,2025-12-12T20:47:07.887Z
MON-USD,LONG,2070,0.02408,-0.084516,-0.0621,0,-0.022416,0.02405,TRADE,2025-12-12T20:35:06.251Z
EDEN-USD,LONG,770,0.06465,-0.130176,-0.1078,0,-0.022376,0.06451,TRADE,2025-12-12T20:35:05.464Z
AERO-USD,LONG,82,0.605,-0.053477,-0.03116,0,-0.022317,0.60462,TRADE,2025-12-12T20:35:06.238Z
LINEA-USD,LONG,6600,0.007547,-0.068603,-0.0462,0,-0.022403,0.00754,TRADE,2025-12-12T20:28:57.430Z
AERO-USD,LONG,82,0.6048,-0.053469,-0.03116,0,-0.022309,0.60442,TRADE,2025-12-12T20:28:56.639Z
MON-USD,LONG,2070,0.02406,-0.063801,-0.0414,0,-0.022401,0.02404,TRADE,2025-12-12T20:28:57.463Z
PENDLE-USD,LONG,22,2.1894,-0.032672,-0.011,0,-0.021672,2.1889,TRADE,2025-12-12T20:28:57.433Z
PENDLE-USD,LONG,22,2.1891,-0.059063,-0.0374,0,-0.021663,2.1874,TRADE,2025-12-12T20:25:13.977Z
LINEA-USD,LONG,6600,0.007551,-0.088411,-0.066,0,-0.022411,0.007541,TRADE,2025-12-12T20:25:13.967Z
AERO-USD,LONG,82,0.60545,-0.075628,-0.0533,0,-0.022328,0.6048,TRADE,2025-12-12T20:25:13.967Z
MON-USD,LONG,2070,0.02404,-0.084478,-0.0621,0,-0.022378,0.02401,TRADE,2025-12-12T20:25:13.974Z
EDEN-USD,LONG,760,0.06493,0.023384,0.0456,0,-0.022216,0.06499,TRADE,2025-12-12T20:16:13.691Z
ZRO-USD,LONG,35,1.4079,-0.011676,0.0105,0,-0.022176,1.4082,TRADE,2025-12-12T20:16:13.685Z
AERO-USD,LONG,82,0.60677,0.016963,0.03936,0,-0.022397,0.60725,TRADE,2025-12-12T20:16:13.701Z
PENDLE-USD,LONG,22,2.181,0.050993,0.0726,0,-0.021607,2.1843,TRADE,2025-12-12T20:16:13.706Z
