Market,Side,Date,Position Size,Payment,Rate
MON,long,2025-12-04 17:00:00,1000.0,-0.000350,0.000012%
APEX,short,2025-12-04 17:00:00,55.0,0.000151,0.000005%
STRK,long,2025-12-04 16:00:00,250.0,0.000301,-0.000010%
MON,long,2025-12-04 16:00:00,1000.0,0.000787,-0.000026%
APEX,short,2025-12-04 16:00:00,55.0,0.000367,0.000012%
STRK,long,2025-12-04 15:00:00,250.0,0.001522,-0.000051%
MON,long,2025-12-04 15:00:00,1000.0,0.000730,-0.000025%
APEX,short,2025-12-04 15:00:00,55.0,-0.000208,-0.000007%
APEX,long,2025-12-04 14:00:00,50.0,0.001850,-0.000068%
WLFI,short,2025-12-04 14:00:00,175.0,-0.002988,-0.000109%
1000SHIB,short,2025-12-04 14:00:00,3000,-0.000261,-0.000010%
ZEC,short,2025-12-04 13:00:00,0.100,0.009004,0.000247%
RESOLV,short,2025-12-04 13:00:00,360,-0.002641,-0.000095%
RESOLV,short,2025-12-03 21:00:00,400,-0.000300,-0.000010%
IP,short,2025-12-03 21:00:00,12.00,-0.001664,-0.000059%
TIA,short,2025-12-02 21:00:00,48.0,0.000355,0.000012%
POPCAT,short,2025-12-02 21:00:00,280.0,0.000346,0.000012%
APEX,short,2025-12-02 18:00:00,50.0,0.000348,0.000012%
SPX,short,2025-12-02 18:00:00,40.0,0.000344,0.000012%
JUP,short,2025-12-02 18:00:00,120.0,-0.001268,-0.000043%
APEX,short,2025-12-02 16:00:00,50.0,0.000355,0.000012%
EIGEN,short,2025-12-02 16:00:00,50.0,-0.001048,-0.000037%
JUP,short,2025-12-02 14:00:00,120.0,-0.001451,-0.000051%
APEX,short,2025-12-02 13:00:00,50.0,0.000331,0.000012%
POPCAT,short,2025-12-02 13:00:00,280.0,0.000328,0.000012%
LINEA,short,2025-12-02 12:00:00,3300,-0.000444,-0.000015%
WLFI,short,2025-12-01 21:00:00,175.0,-0.001745,-0.000066%
TIA,short,2025-12-01 21:00:00,51.0,-0.001698,-0.000059%
JUP,short,2025-12-01 21:00:00,120.0,-0.001103,-0.000041%
WLFI,short,2025-12-01 20:00:00,175.0,-0.002685,-0.000101%
TIA,short,2025-12-01 20:00:00,51.0,-0.002028,-0.000071%
BERA,short,2025-12-01 20:00:00,33.0,-0.002562,-0.000087%
EDEN,short,2025-11-30 21:00:00,378.4,0.000365,0.000012%
OP,short,2025-11-30 21:00:00,93.2,0.000364,0.000012%
RESOLV,short,2025-11-30 21:00:00,390,-0.012680,-0.000419%
ZRO,short,2025-11-30 19:00:00,21.8,-0.004234,-0.000140%
GRASS,short,2025-11-30 19:00:00,92.6,-0.000692,-0.000023%
BERA,short,2025-11-30 19:00:00,68.0,-0.004057,-0.000067%
1000BONK,short,2025-11-30 19:00:00,3120,0.000363,0.000012%
NEAR,short,2025-11-30 19:00:00,16.4,-0.002315,-0.000076%
ZRO,short,2025-11-30 18:00:00,22.0,-0.004815,-0.000159%
UNI,short,2025-11-30 18:00:00,4.89,0.000363,0.000012%
BERA,short,2025-11-30 18:00:00,33.7,-0.000815,-0.000027%
TIA,short,2025-11-30 16:00:00,22.1,0.000160,0.000011%
RESOLV,short,2025-11-30 16:00:00,183,-0.002549,-0.000186%
APT,short,2025-11-30 16:00:00,6.42,-0.002161,-0.000166%
MON,short,2025-11-30 14:00:00,481.9,-0.000891,-0.000063%
ZRO,short,2025-11-30 14:00:00,10.8,-0.000956,-0.000066%
GRASS,short,2025-11-30 14:00:00,42.4,-0.000630,-0.000046%
APT,short,2025-11-30 14:00:00,7.09,-0.002473,-0.000172%
RESOLV,short,2025-11-30 13:00:00,191,-0.008169,-0.000560%
KAITO,short,2025-11-30 13:00:00,19.4,-0.001782,-0.000130%
ZRO,short,2025-11-30 12:00:00,10.9,-0.001780,-0.000122%
KAITO,short,2025-11-30 12:00:00,19.5,-0.001426,-0.000104%
APT,short,2025-11-30 12:00:00,7.19,-0.001445,-0.000100%
KAITO,short,2025-11-29 22:00:00,15.6,-0.001244,-0.000112%
BERA,short,2025-11-29 22:00:00,12.2,-0.001477,-0.000132%
APT,short,2025-11-29 21:00:00,5.49,-0.001522,-0.000137%
BERA,short,2025-11-29 21:00:00,12.2,-0.001234,-0.000111%
KAITO,short,2025-11-29 20:00:00,15.6,-0.001073,-0.000097%
APT,short,2025-11-29 20:00:00,5.50,-0.001825,-0.000164%
EIGEN,short,2025-11-29 11:00:00,18.0,0.000131,0.000012%
KAITO,short,2025-11-29 11:00:00,15.7,-0.001381,-0.000124%
EIGEN,short,2025-11-29 10:00:00,18.0,0.000055,0.000005%
KAITO,short,2025-11-29 10:00:00,15.7,-0.001837,-0.000167%
EIGEN,short,2025-11-29 09:00:00,18.0,-0.000142,-0.000013%
KAITO,short,2025-11-29 09:00:00,15.7,-0.001302,-0.000119%
EIGEN,short,2025-11-29 08:00:00,18.0,0.000099,0.000009%
KAITO,short,2025-11-29 08:00:00,15.7,-0.001051,-0.000096%
EIGEN,short,2025-11-29 07:00:00,18.0,0.000132,0.000012%
KAITO,short,2025-11-29 07:00:00,15.7,-0.001145,-0.000104%
EIGEN,short,2025-11-29 06:00:00,18.0,0.000133,0.000012%
KAITO,short,2025-11-29 06:00:00,15.7,-0.000991,-0.000090%
EIGEN,short,2025-11-29 05:00:00,18.0,0.000134,0.000012%
KAITO,short,2025-11-29 05:00:00,15.7,-0.001068,-0.000096%
EIGEN,short,2025-11-29 04:00:00,18.0,-0.000044,-0.000004%
KAITO,short,2025-11-29 04:00:00,15.7,-0.000816,-0.000074%
EIGEN,short,2025-11-29 03:00:00,18.0,0.000133,0.000012%
KAITO,short,2025-11-29 03:00:00,15.7,-0.001338,-0.000121%
EIGEN,short,2025-11-29 02:00:00,18.0,0.000067,0.000006%
KAITO,short,2025-11-29 02:00:00,15.7,-0.001514,-0.000136%
WLD,short,2025-11-27 16:00:00,16.9,0.000067,0.000006%
AVNT,short,2025-11-27 00:00:00,37.1,0.000182,0.000012%
ARB,short,2025-11-27 00:00:00,69.2,0.000182,0.000012%
ADA,short,2025-11-27 00:00:00,34.7,0.000182,0.000012%
AVNT,short,2025-11-26 21:00:00,37.6,0.000182,0.000012%
LINEA,short,2025-11-26 21:00:00,1417,0.000182,0.000012%
MNT,short,2025-11-26 21:00:00,14.4,0.000182,0.000012%
RESOLV,short,2025-11-26 21:00:00,151,-0.031495,-0.002059%
ONDO,short,2025-11-26 21:00:00,29.4,0.000107,0.000007%
